address,city,floor,id,latitude,longitude,price,rooms,sq,year
Bielany,Warszawa,6.0,13958.0,52.2776126,20.9472054,368500.0,2.0,37.0,1968.0
Podgórze Stare Podgórze,Kraków,2.0,28568.0,50.0444203,19.9493098,639000.0,3.0,62.0,1918.0
Białołęka ul. Aluzyjna,Warszawa,3.0,14103.0,52.34419129999999,20.943039,547000.0,2.0,44.2,2014.0
Mistrzejowice,Kraków,3.0,24016.0,50.09742625,20.00960263225891,488480.0,3.0,61.06,2020.0
Podgórze Duchackie ul. Walerego Sławka,Kraków,7.0,24760.0,50.0242313,19.959569,549000.0,3.0,57.78,2021.0
Mokotów ul. Domaniewska 34B,Warszawa,0.0,9221.0,52.1839266,21.008725,625800.0,2.0,47.53,2022.0
Włochy Budki Szczęśliwickie,Warszawa,4.0,12605.0,52.2319581,21.0067249,439000.0,2.0,41.0,2021.0
Dębniki Wacława Lipińskiego,Kraków,3.0,29029.0,50.030316600000006,19.9252806,698000.0,5.0,88.63,2002.0
Śródmieście ul. Romualda Traugutta,Warszawa,0.0,14495.0,52.2390003,21.0147088,1295000.0,4.0,74.9,1953.0
Grunwald Bułgarska 59,Poznań,4.0,175.0,52.3958369,16.8627283,449000.0,3.0,66.7,2020.0
Śródmieście,Warszawa,7.0,16125.0,52.2328098,21.019067,740000.0,2.0,50.0,1959.0
Ursynów,Warszawa,3.0,10025.0,52.141039,21.0323214,700000.0,3.0,71.0,1994.0
Mokotów,Warszawa,1.0,11137.0,52.19398740000001,21.0457809,1190000.0,3.0,70.0,1936.0
Wola,Warszawa,3.0,8988.0,52.2362379,20.9547815,485000.0,2.0,38.0,1964.0
Praga-Południe ul. Koprzywiańska 2,Warszawa,2.0,14478.0,52.2387974,21.1196744,523305.0,2.0,55.73,2021.0
Podgórze Stare Podgórze Jana Długosza,Kraków,3.0,24371.0,50.0426719,19.9420774,537000.0,2.0,34.9,2021.0
Nowa Huta os. Piastów,Kraków,1.0,22529.0,50.0980554,20.017104994988298,375000.0,3.0,47.0,1976.0
Praga-Południe Gocław ul. Kompasowa,Warszawa,3.0,7929.0,52.2313624,21.0842298,1250000.0,5.0,144.0,1999.0
Grunwald Jeleniogórska 1/3,Poznań,4.0,5570.0,52.404212,16.882542,499174.0,3.0,68.38,2021.0
Ursynów Wyczółki Kłobucka,Warszawa,2.0,10861.0,52.1599734,20.990916185264226,620000.0,2.0,49.6,2016.0
Śródmieście ul. Bagno,Warszawa,2.0,17636.0,52.2356626,21.0049685,599000.0,2.0,33.95,1966.0
Nowa Huta Czyżyny Stanisława Lema,Kraków,2.0,25709.0,50.06772015,19.991549009431782,603567.0,3.0,60.66,2022.0
Grunwald Ławica Bułgarska,Poznań,1.0,5659.0,52.4041619,16.8668109,456234.75,3.0,65.41,2020.0
Bemowo,Warszawa,0.0,17653.0,52.2389738,20.913288100000006,535000.0,3.0,53.0,2020.0
Włochy Chrościckiego,Warszawa,1.0,18185.0,52.2078048,20.9055637,295300.0,1.0,30.28,2020.0
Stare Miasto Kazimierz Michała Siedleckiego,Kraków,2.0,27390.0,50.0565458,19.9495403,576000.0,2.0,48.0,1949.0
Prądnik Czerwony Rakowice ks. bp. Władysława Bandurskiego,Kraków,1.0,28578.0,50.1337314,19.6135918,868000.0,2.0,62.0,1938.0
Prądnik Biały,Kraków,2.0,21524.0,50.1035684,19.953603106301202,549000.0,3.0,58.0,2008.0
Mokotów ul. Domaniewska 34B,Warszawa,8.0,9298.0,52.1839266,21.008725,523800.0,2.0,32.79,2022.0
Bielany ul. Kwitnąca,Warszawa,0.0,8139.0,52.2319581,21.0067249,518000.0,3.0,57.0,1980.0
Dębniki,Kraków,2.0,26809.0,50.0518611,19.9270367,1290000.0,3.0,96.0,1930.0
Praga-Północ,Warszawa,1.0,9078.0,52.2648843,21.0273442,510000.0,3.0,56.24,2021.0
Żoliborz Rudzka,Warszawa,6.0,7306.0,52.2789445,20.9705271,1883065.94,4.0,116.83,2020.0
Podgórze ul. Stanisława Klimeckiego,Kraków,5.0,24924.0,50.04922420000001,19.9703793,729000.0,2.0,72.1,2021.0
Nowe Miasto Malta,Poznań,3.0,388.0,52.40739345,16.979467067544743,412000.0,3.0,51.36,2021.0
Praga-Północ ul. Szwedzka,Warszawa,0.0,12211.0,52.2634539,21.0453302,711125.0,3.0,56.89,2022.0
Prądnik Czerwony płk. pil. Stefana Łaszkiewicza,Kraków,10.0,27726.0,50.0688703,19.975836800000003,620000.0,2.0,50.0,2018.0
Bieńczyce os. Kazimierzowskie,Kraków,4.0,19820.0,50.0861204,20.0244875,320000.0,2.0,38.0,1966.0
Stare Miasto Naramowice Naramowice,Poznań,4.0,3003.0,52.44964889999999,16.9494082,439360.0,3.0,68.65,2020.0
Śródmieście,Warszawa,9.0,8290.0,52.2328098,21.019067,1509000.0,4.0,118.0,2021.0
Stare Miasto Piątkowo ul. Mateckiego,Poznań,0.0,3861.0,52.461312,16.897866,470986.0,3.0,67.38,2019.0
Ochota Stara Ochota Aleje Jerozolimskie,Warszawa,2.0,7837.0,52.2274779,20.9993834,560000.0,2.0,44.1,1970.0
Grunwald Ławica Bułgarska,Poznań,3.0,5670.0,52.4041619,16.8668109,665040.0,4.0,97.8,2020.0
Nowe Miasto Antoninek Sarnia,Poznań,5.0,3378.0,52.4127025,17.0427606,1600000.0,3.0,127.9,2020.0
Dębniki Kliny-Zacisze Komuny Paryskiej,Kraków,2.0,25668.0,49.9989124,19.8947491,850000.0,4.0,95.0,2009.0
Bieżanów-Prokocim Bieżanów Nefrytowa,Kraków,1.0,18353.0,50.0206928,20.0476759,268900.0,2.0,37.2,2021.0
Śródmieście Żelazna,Kraków,3.0,28091.0,50.0745345,19.9464297,297718.43,1.0,16.41,2021.0
Wola Odolany,Warszawa,0.0,6862.0,52.2143854,20.9478636,472544.0,2.0,42.15,2021.0
Podgórze Zabłocie Stanisława Klimeckiego,Kraków,4.0,23797.0,50.04922420000001,19.9703793,709000.0,3.0,69.64,2021.0
Podgórze Wielicka,Kraków,0.0,24364.0,50.0336609,19.9712973,790566.0,4.0,80.67,2021.0
Zwierzyniec Wola Justowska Królowej Jadwigi,Kraków,3.0,28142.0,50.0650619,19.877649,902850.0,4.0,69.45,2019.0
Wilda Dębiec 28  Czerwca 1956 r.,Poznań,7.0,3678.0,52.37182785,16.903531852767983,469000.0,2.0,54.0,2016.0
Prądnik Biały Tonie Gaik,Kraków,1.0,19946.0,49.98977070000001,19.9134505,1007185.0,5.0,126.69,2020.0
Nowa Huta Centrum C,Kraków,2.0,27278.0,54.35404910000001,16.446419199999998,380000.0,2.0,52.0,1950.0
Stare Miasto Kazimierz Dietla,Kraków,0.0,28458.0,50.0503989,19.9383926,548000.0,2.0,63.0,1910.0
Nowe Miasto Zawady ul. Studzienna,Poznań,2.0,827.0,52.4205511,16.9649872,264317.0,1.0,34.66,2021.0
Wesoła Stefana Żeromskiego,Warszawa,3.0,6974.0,52.2682773,20.98866845932304,560000.0,2.0,37.0,2013.0
Ursus,Warszawa,2.0,16003.0,52.1960985,20.8828989,490000.0,2.0,49.0,2003.0
Targówek Zacisze,Warszawa,2.0,17270.0,52.2867819,21.0632235,429000.0,2.0,47.5,2005.0
Wzgórza Krzesławickie os. Na Wzgórzach,Kraków,2.0,24936.0,50.0955215,20.0643647,250000.0,2.0,32.2,1970.0
Prądnik Biały 29 Listopada,Kraków,2.0,22101.0,52.3511111,19.9441667,563699.0,3.0,65.16,2021.0
Bielany ul. Rudzka 5,Warszawa,0.0,7717.0,52.27851165,20.9734368,751000.0,3.0,60.97,2021.0
Żoliborz ul. Ludwika Rydygiera,Warszawa,4.0,8072.0,52.2590164,20.9919642,1100000.0,3.0,79.9,2010.0
Stare Miasto Piątkowo Os Chrobrego Szymanowskiego SzeligowskaMieszka I Wojciechowskiego Lechicka,Poznań,2.0,4017.0,52.4421878,16.9434794,414000.0,3.0,63.3,1977.0
Ursus ul. Dzieci Warszawy,Warszawa,3.0,9911.0,52.1906514,20.9125341,390637.0,2.0,39.26,2021.0
Podgórze Myśliwska,Kraków,2.0,25415.0,50.0454593,20.0002025,563000.0,3.0,60.28,2022.0
Grzegórzki,Kraków,5.0,27026.0,50.06497215,19.968825516425387,1051000.0,3.0,80.0,2008.0
Wola Juliana Konstantego Ordona,Warszawa,5.0,8460.0,52.2247928,20.9525803,408697.0,1.0,33.62,2022.0
Mokotów Sielecka,Warszawa,2.0,14917.0,52.2066919,21.0391423,449000.0,1.0,32.0,1956.0
Stare Miasto Paulińska,Kraków,2.0,28654.0,50.0491262,19.938100100000003,789000.0,2.0,56.5,1920.0
Ursynów,Warszawa,8.0,18096.0,52.141039,21.0323214,749000.0,2.0,54.65,2010.0
Podgórze płk. Ryszarda Kuklińskiego,Kraków,2.0,22930.0,50.04450785,19.9731901,510536.0,2.0,49.09,2020.0
Podgórze Duchackie ul. Walerego Sławka,Kraków,0.0,18548.0,50.0242313,19.959569,399000.0,2.0,44.37,2021.0
Praga-Południe Gocław al. J. Nowaka-Jeziorańskiego,Warszawa,6.0,10696.0,52.229716,21.1062874,446200.0,2.0,38.6,2020.0
Praga-Południe Koprzywiańska,Warszawa,2.0,11632.0,52.2406237,21.119293,523305.0,2.0,55.73,2021.0
Targówek Bródno,Warszawa,10.0,14185.0,52.2775271,21.0223526,515000.0,3.0,54.0,1972.0
Krowodrza Obożna( rejon),Kraków,2.0,28581.0,50.45334045,30.319402697629485,429000.0,7.0,207.0,1936.0
Stare Miasto Wielopole,Kraków,1.0,29749.0,50.05833870000001,19.9464791,895000.0,2.0,50.0,2012.0
Nowe Miasto Malta Katowicka,Poznań,1.0,4024.0,52.39734489999999,16.9619394,381237.0,2.0,43.57,2022.0
Dębniki Kliny-Zacisze,Kraków,2.0,19699.0,50.00969645000001,19.905901803626172,520000.0,2.0,56.0,2005.0
Białołęka Tarchomin Edwarda Wittiga,Warszawa,9.0,10949.0,52.3140019,20.960064000000006,559000.0,3.0,63.0,1970.0
Wola ul. Ogrodowa 11,Warszawa,2.0,6309.0,52.23897485,20.990199329897813,585000.0,2.0,52.64,1960.0
Bemowo ul. Jana Blatona,Warszawa,1.0,13459.0,52.2569933,20.9221822,570000.0,3.0,66.3,1990.0
Stare Miasto św. Gertrudy,Kraków,2.0,19054.0,50.0594355,19.941923100000004,290000.0,1.0,14.81,1886.0
Białołęka Tarchomin Książkowa,Warszawa,0.0,17637.0,52.2319581,21.0067249,585000.0,3.0,69.0,2000.0
Mokotów Budynek z pozwoleniem na użytkowanie> ,Warszawa,10.0,12781.0,52.19398740000001,21.0457809,548793.0,2.0,40.3,2021.0
Grzegórzki Kordylewskiego,Kraków,5.0,29630.0,50.0603359,19.9623163,1045000.0,3.0,78.41,2008.0
Wilanów ul. Sarmacka,Warszawa,0.0,12116.0,52.16565170000001,21.0767961,850000.0,2.0,62.1,2008.0
Nowe Miasto Malta,Poznań,0.0,4312.0,52.40739345,16.979467067544743,261600.0,1.0,27.25,2021.0
Nowa Huta Czyżyny Nowohucka 46,Kraków,0.0,30121.0,50.0558029,19.9993305,480480.0,3.0,54.6,2022.0
Grunwald Łazarz ul. Franciszka Morawskiego,Poznań,2.0,1155.0,52.3939317,16.8960439,490000.0,2.0,50.0,2010.0
Jeżyce Dąbrowskiego 97B,Poznań,4.0,4623.0,52.41091880000001,16.910867991329482,330000.0,2.0,59.1,1966.0
Śródmieście ul. Ludwika Zamenhofa,Warszawa,4.0,13161.0,52.2488685,20.9954708,550000.0,2.0,38.7,1954.0
Podgórze ul. płk. Ryszarda Kuklińskiego 7,Kraków,2.0,27035.0,50.0469432,19.99715343583669,372857.2,1.0,34.46,2020.0
Praga-Południe Gocław ul. Ostrobramska,Warszawa,5.0,6600.0,52.2346714,21.0976177,363400.0,1.0,29.07,2020.0
Dębniki Michała Bałuckiego,Kraków,2.0,24613.0,50.0496526,19.9258888,325500.0,1.0,18.6,2020.0
Bieżanów-Prokocim Konrada Wallenroda,Kraków,0.0,21976.0,50.0176748,20.0011197,439000.0,3.0,57.0,1983.0
Praga-Południe Zbigniewa Burzyńskiego,Warszawa,5.0,7533.0,52.2286507,21.1091269,585000.0,2.0,55.0,2001.0
Prądnik Biały Krowoderskich Zuchów,Kraków,2.0,21294.0,50.08492885,19.931430599115654,470000.0,3.0,51.18,1970.0
Stare Miasto ul. Długa 24,Kraków,2.0,29995.0,50.0679951,19.93831299081117,530966.8,1.0,26.39,2020.0
Stare Miasto ul. Naramowicka 169,Poznań,3.0,51.0,52.44798695,16.9470112340782,285000.0,2.0,36.0,1980.0
Wzgórza Krzesławickie ul.Gustawa Morcinka,Kraków,2.0,26653.0,50.1047809,20.0362743,385686.0,3.0,61.22,2022.0
Nowe Miasto Kobyle Pole,Poznań,0.0,4692.0,52.4006632,16.919732591780882,426000.0,3.0,54.65,2022.0
Podgórze Przewóz ul. Przewóz,Kraków,0.0,21374.0,50.0435196,20.0712999,599000.0,2.0,50.0,2019.0
Grunwald Łazarz ul. Floriana Stablewskiego,Poznań,0.0,1249.0,52.3923493,16.8970373,439000.0,3.0,56.0,1930.0
Targówek Rembrandta,Warszawa,4.0,15064.0,52.2799935,21.0498212,1220000.0,4.0,87.75,2018.0
Bielany Młociny Heroldów,Warszawa,3.0,17809.0,52.3043936,20.9308802,495000.0,2.0,45.0,2000.0
Nowa Huta Czyżyny ul. Centralna,Kraków,2.0,21511.0,50.0635686,20.0037147,579794.17,4.0,78.89,2022.0
Bieżanów-Prokocim Wielicka 179,Kraków,0.0,29173.0,50.0102971,20.00857,387180.0,2.0,43.02,2021.0
Śródmieście,Warszawa,3.0,7911.0,52.2328098,21.019067,494700.0,1.0,28.0,1912.0
Mokotów,Warszawa,4.0,17131.0,52.19398740000001,21.0457809,810000.0,3.0,73.5,1995.0
Dębniki dr. Jana Piltza,Kraków,1.0,25279.0,50.0076191,19.8888826,399000.0,2.0,41.11,2020.0
Podgórze Walerego Sławka,Kraków,4.0,24241.0,50.0242313,19.959569,439000.0,2.0,49.02,2021.0
Podgórze Duchackie Walerego Sławka,Kraków,0.0,27777.0,50.0242313,19.959569,449000.0,2.0,47.16,2021.0
Prądnik Czerwony Ugorek Janusza Meissnera,Kraków,1.0,27265.0,50.07607065,19.97947475,560146.0,3.0,59.59,2021.0
Prądnik Czerwony ul. Zenona Klemensiewicza,Kraków,0.0,22630.0,50.0814925,19.950022600000004,221935.0,1.0,15.69,2021.0
Jeżyce Sołacz Wojska Polskiego,Poznań,3.0,2800.0,52.41166985,16.918916676627607,769000.0,4.0,96.4,2004.0
Mokotów ul. Domaniewska 34B,Warszawa,6.0,9300.0,52.1839266,21.008725,515600.0,1.0,33.2,2022.0
Mokotów Sielce,Warszawa,1.0,15976.0,52.1964999,21.046333800000006,1220000.0,3.0,76.5,1964.0
Prądnik Czerwony Wileńska,Kraków,4.0,19111.0,50.0811975,19.95581,420000.0,2.0,46.0,1968.0
Mokotów,Warszawa,0.0,12061.0,52.19398740000001,21.0457809,480000.0,3.0,46.0,1990.0
Śródmieście ul. Karolkowa,Warszawa,10.0,9566.0,52.2340452,20.9770226,2350000.0,4.0,110.0,2019.0
Jeżyce Winiary ul. Piątkowska,Poznań,0.0,3356.0,52.4006632,16.919732591780882,529875.0,4.0,67.5,2020.0
Praga-Południe Gocław ul. Floriana Znanieckiego,Warszawa,8.0,14187.0,52.2251079,21.1048949,620000.0,3.0,70.2,1986.0
Bronowice Balicka,Kraków,0.0,21469.0,50.081791,19.858463600000004,530000.0,2.0,52.01,2001.0
małopolskie,Kraków,3.0,29458.0,50.0619474,19.9368564,660000.0,3.0,70.0,1975.0
Stare Miasto Żelazna,Kraków,4.0,28074.0,50.0745345,19.9464297,225000.0,1.0,15.25,2021.0
Bielany ul. Przy Agorze,Warszawa,2.0,11920.0,52.2912362,20.9363057,756000.0,3.0,78.0,1999.0
Prądnik Biały Azory Radzikowskiego,Kraków,0.0,21336.0,50.0835261,19.9038175,243295.0,1.0,25.61,2020.0
Bielany al. Aleja Słowiańska,Warszawa,3.0,16793.0,52.2760164,20.965947600000003,338674.1,1.0,24.41,2021.0
Bronowice Eljasza Walerego Radzikowskiego,Kraków,2.0,26046.0,50.0894188,19.8836634,599000.0,3.0,58.5,2012.0
Grunwald Górczyn ul. Ceglana,Poznań,3.0,3566.0,52.3709933,16.863145899999996,441064.0,2.0,42.41,2020.0
Bemowo,Warszawa,3.0,15416.0,52.2389738,20.913288100000006,616000.0,3.0,56.0,2008.0
Grzegórzki ul. Grzegórzecka,Kraków,1.0,28690.0,50.0587885,19.9500605,932318.0,3.0,79.01,2020.0
Centrum,Warszawa,10.0,8565.0,52.2311577,21.0100632,345000.0,1.0,20.0,2021.0
Podgórze Duchackie Podedworze,Kraków,0.0,27736.0,50.0284434,19.834148100000004,590000.0,3.0,55.44,2016.0
Prądnik Biały Górka Narodowa,Kraków,2.0,23083.0,50.0974858,19.9592694,495000.0,2.0,59.45,2008.0
Białołęka Nowodwory,Warszawa,0.0,16328.0,52.35123,20.9444889,393900.0,2.0,43.5,2001.0
Dębniki ul. Kobierzyńska,Kraków,5.0,24971.0,50.0264036,19.9118498,519000.0,2.0,40.86,2021.0
Podgórze ul. Koszykarska,Kraków,0.0,22096.0,50.0498929,19.990602600000006,750000.0,4.0,81.0,2021.0
Nowe Miasto Rataje,Poznań,1.0,893.0,52.3901295,16.9535909,335806.0,2.0,40.21,2022.0
Krowodrza Adama Vetulaniego,Kraków,3.0,18350.0,50.0947269,19.9247728,381000.0,2.0,40.0,2021.0
Żoliborz ul. Burakowska,Warszawa,1.0,11277.0,52.2534055,20.9802996,760000.0,2.0,39.0,2019.0
Stare Miasto ul. Długa 24,Kraków,4.0,29977.0,50.0679951,19.93831299081117,880582.6,2.0,40.73,2020.0
Podgórze Duchackie Kurdwanów Franciszka Bujaka,Kraków,3.0,20014.0,50.0103883,19.94888242426901,139000.0,2.0,48.0,2000.0
Podgórze Walerego Sławka,Kraków,8.0,24239.0,50.0242313,19.959569,439000.0,2.0,46.54,2021.0
Bielany ul. Broniewskiego 39 os. Piaski,Warszawa,3.0,8511.0,52.2319581,21.0067249,490000.0,3.0,48.0,1973.0
Prądnik Biały Stefana Banacha,Kraków,2.0,18711.0,50.1015333,19.9640995,297288.0,1.0,27.9,2022.0
Bronowice Bronowice Małe,Kraków,1.0,20811.0,50.089837599999996,19.870812874428264,750000.0,3.0,70.0,2005.0
Targówek Kuflewska,Warszawa,2.0,13411.0,52.2709242,21.0590247,490000.0,3.0,57.0,1977.0
Jeżyce Podolany ul. Druskienicka,Poznań,3.0,1417.0,52.4469863,16.8890994,289000.0,1.0,31.0,2020.0
Grunwald Łazarz os. Hetmańskie,Poznań,0.0,517.0,52.38872360000001,16.8952968,285000.0,2.0,45.0,1970.0
Mokotów Górny Mokotów al. Niepodległości 33,Warszawa,4.0,7970.0,52.1938183,21.0139935,750000.0,2.0,60.0,1956.0
Śródmieście Powiśle ul. Zajęcza,Warszawa,1.0,10136.0,52.2382865,21.0251236,962000.0,1.0,37.0,2021.0
Praga-Północ ul. Szwedzka,Warszawa,4.0,10097.0,52.2634539,21.0453302,596363.56,2.0,46.54,2022.0
Stare Miasto Naramowice ul. Sielawy,Poznań,2.0,310.0,52.4463318,16.951269699999994,326395.0,2.0,45.02,2022.0
Praga-Południe,Warszawa,1.0,6296.0,52.2373961,21.0712578,463000.0,2.0,39.97,2021.0
Grzegórzki ul. płk. Francesco Nullo,Kraków,9.0,28800.0,50.0469432,19.99715343583669,722125.0,3.0,57.77,2022.0
Nowe Miasto Malta ul. Katowicka,Poznań,1.0,5713.0,52.39734489999999,16.9619394,530950.0,4.0,75.85,2022.0
Śródmieście Centrum,Kraków,4.0,24081.0,50.0087995,19.9597568,670000.0,3.0,69.28,1925.0
Wola ul. Marcina Kasprzaka,Warszawa,0.0,16209.0,52.227298450000006,20.953014207365527,385000.0,1.0,28.0,2021.0
Bielany Słodowiec,Warszawa,0.0,16046.0,52.2737054,20.9611986,570000.0,3.0,60.0,1978.0
Nowe Miasto Śródka Garbary,Poznań,2.0,2831.0,52.4066079,16.9372258,636863.0,3.0,68.0,2020.0
Nowe Miasto Lwa,Poznań,0.0,3801.0,52.5811608,17.013325299999998,340000.0,2.0,43.07,2004.0
Żoliborz al. Wojska Polskiego,Warszawa,1.0,8340.0,51.3883962,21.21432240018504,869000.0,2.0,58.64,1930.0
Śródmieście,Warszawa,6.0,15728.0,52.2328098,21.019067,921000.0,2.0,47.81,1955.0
Mokotów Sadyba Konstancińska,Warszawa,3.0,8249.0,52.1887212,21.058435,811840.0,4.0,94.4,1995.0
Jeżyce,Poznań,0.0,3464.0,52.413045,16.9022122,369000.0,3.0,75.27,1910.0
Bronowice Stanisława Przybyszewskiego,Kraków,2.0,21920.0,50.0710654,19.89776716039137,719000.0,3.0,62.25,2018.0
Ursus Apartamentowa,Warszawa,2.0,14148.0,52.1941744,20.9068279,462000.0,3.0,52.0,2021.0
Prądnik Czerwony,Kraków,5.0,25007.0,50.0859419,19.96660060819073,692496.0,3.0,82.44,2021.0
Bieżanów-Prokocim Bieżanów,Kraków,1.0,20970.0,50.0128958,20.0258584,328000.0,2.0,37.5,2022.0
Nowa Huta Niebyła,Kraków,1.0,26793.0,49.9878651,19.9614639,340000.0,2.0,34.2,2019.0
Stare Miasto Naramowice ul. Czarnucha,Poznań,4.0,2299.0,52.44997629999999,16.9527562,340000.0,3.0,52.41,2022.0
Ochota,Warszawa,2.0,18177.0,52.212225,20.9726299,550000.0,2.0,44.0,1968.0
Podgórze Zabłocie ul. Zabłocie,Kraków,3.0,27933.0,50.0478769,19.961368688357496,589000.0,2.0,37.0,2019.0
Włochy ul. Sabały,Warszawa,2.0,16861.0,52.1912531,20.9610467,595000.0,2.0,60.0,1936.0
Wola Pustola,Warszawa,1.0,12275.0,52.2335922,20.9481684,545000.0,3.0,48.2,1964.0
Bielany ul. Rudzka 5,Warszawa,5.0,7703.0,52.27851165,20.9734368,643800.0,2.0,41.88,2021.0
Łagiewniki-Borek Fałęcki Borek Fałęcki,Kraków,0.0,23252.0,50.02325020000001,19.9346479,1263790.0,3.0,114.8,2019.0
Jeżyce ul. św. Wawrzyńca 11,Poznań,4.0,5046.0,52.4201252,16.8956979,290532.0,1.0,31.24,2022.0
Śródmieście Bagno,Warszawa,9.0,17130.0,52.2356626,21.0049685,518000.0,1.0,28.01,1966.0
Śródmieście Śródmieście Południowe al. Aleja Jana Chrystiana Szucha,Warszawa,4.0,10074.0,52.2173857,21.0238869,4500000.0,5.0,154.0,1931.0
Prądnik Biały,Kraków,0.0,25748.0,50.1035684,19.953603106301202,450824.0,3.0,51.23,2021.0
Stare Miasto Naramowice ul. Czarnucha,Poznań,3.0,1906.0,52.44997629999999,16.9527562,277423.2,2.0,38.16,2020.0
Mistrzejowice os. Piastów,Kraków,3.0,29497.0,50.101206899999994,20.017364300393496,339000.0,2.0,37.0,1970.0
Jeżyce Stanisława Staszica,Poznań,3.0,4862.0,52.4135618,16.899291899999998,649000.0,3.0,117.31,1902.0
Mokotów Jana Pawła Woronicza,Warszawa,4.0,11746.0,52.18974245,21.005474195084005,1384029.0,3.0,121.47,2012.0
Nowe Miasto Rataje,Poznań,3.0,1819.0,52.3901295,16.9535909,384621.0,3.0,47.26,2022.0
Bieżanów-Prokocim Bieżanów ul. ks. Prałata Mariana Łaczka,Kraków,1.0,18358.0,50.01019960000001,20.0273363,612000.0,3.0,72.8,2013.0
Białołęka Odkryta,Warszawa,2.0,11439.0,52.32753510000001,20.93668,329000.0,1.0,37.0,2003.0
Krowodrza Adama Vetulaniego,Kraków,2.0,20524.0,50.0947269,19.9247728,360000.0,2.0,35.0,2021.0
Bronowice ul. Stanisława Przybyszewskiego,Kraków,1.0,18881.0,50.0711523,19.8952508,242250.0,2.0,25.5,2021.0
Białołęka,Warszawa,1.0,13736.0,52.3196649,21.0211773,410000.0,2.0,47.0,2019.0
Białołęka,Warszawa,1.0,8745.0,52.3196649,21.0211773,460000.0,2.0,50.0,2001.0
Prądnik Czerwony ul. Promienistych,Kraków,2.0,24059.0,50.0858369,19.9714303,685211.0,2.0,76.99,2021.0
Stare Miasto Mikołaja Zyblikiewicza,Kraków,2.0,22156.0,50.0605245,19.9441727,620000.0,3.0,61.94,1906.0
Bielany rokokowa 130,Warszawa,1.0,7480.0,52.2851268,20.9136281,1720000.0,5.0,170.0,2020.0
Praga-Północ,Warszawa,6.0,10149.0,52.2648843,21.0273442,395000.0,2.0,38.0,1978.0
Śródmieście ul. Bonerowska 4,Kraków,3.0,19568.0,50.0591526,19.946242,525600.0,2.0,43.8,1902.0
Białołęka,Warszawa,2.0,17520.0,52.3196649,21.0211773,425000.0,2.0,54.3,2001.0
Białołęka Kroczewska,Warszawa,1.0,13999.0,52.3423709,21.0806877,773000.0,3.0,120.0,2022.0
Zwierzyniec Bielany ul. Księcia Józefa,Kraków,0.0,19636.0,50.0462733,19.8721668,454700.0,2.0,51.09,2021.0
Bemowo ul. Szeligowska,Warszawa,3.0,9529.0,52.22078070000001,20.8969917,450000.0,2.0,36.79,2020.0
Wola,Warszawa,4.0,12798.0,52.2362379,20.9547815,449990.0,1.0,34.61,1960.0
Nowa Huta Na Wzgórzach,Kraków,10.0,27020.0,50.09549025,20.061775119664933,269000.0,2.0,33.5,1980.0
Białołęka,Warszawa,4.0,15123.0,52.3196649,21.0211773,399000.0,2.0,47.0,2020.0
Białołęka Białołęka Dworska,Warszawa,2.0,10773.0,52.334046799999996,21.010671903285466,489000.0,2.0,52.0,2005.0
Ursus Stary Ursus,Warszawa,2.0,14197.0,52.2084204,20.8642041,319000.0,2.0,35.5,1965.0
Mistrzejowice ul. Piasta Kołodzieja,Kraków,3.0,23328.0,50.0986433,20.0132206,410184.0,3.0,50.64,2022.0
Śródmieście Powiśle,Warszawa,4.0,6961.0,52.24275170000001,21.0240188,1800000.0,3.0,90.0,1937.0
Mokotów Służewiec ul. Bokserska,Warszawa,5.0,11115.0,52.1696586,20.9970149,811539.3,4.0,73.3,2020.0
Włochy,Warszawa,1.0,12032.0,52.1861093,20.9484377,575000.0,3.0,61.15,2021.0
Mokotów Ksawerów ul. Pejzażowa,Warszawa,10.0,17308.0,52.18105675,21.02784750794355,610000.0,2.0,48.9,2006.0
Grunwald,Poznań,2.0,771.0,52.404212,16.882542,559000.0,2.0,60.07,2010.0
Bieżanów-Prokocim Bieżanów Telimeny,Kraków,3.0,20147.0,50.0199039,20.016057,308500.0,2.0,34.85,2022.0
Praga-Południe,Warszawa,3.0,15481.0,52.2373961,21.0712578,599000.0,3.0,48.5,1970.0
Stare Miasto Piątkowo os. Bolesława Chrobrego,Poznań,10.0,2904.0,52.4537561,16.913691,350000.0,2.0,47.8,1985.0
Grunwald ul. Wojskowa,Poznań,5.0,3868.0,52.4002585,16.8930081,949000.0,5.0,121.0,2007.0
Białołęka Kąty Grodziskie,Warszawa,2.0,10909.0,52.3246245,21.0547602,393000.0,3.0,53.0,2021.0
Białołęka Skarbka z Gór,Warszawa,0.0,14520.0,52.3228184,21.0576574,575000.0,4.0,76.6,2002.0
Bielany,Warszawa,3.0,16775.0,52.2776126,20.9472054,499900.0,3.0,56.04,1970.0
Targówek Bródno Suwalska,Warszawa,3.0,15232.0,52.294998,21.033005600000006,285000.0,1.0,24.4,1970.0
Wola Juliana Konstantego Ordona,Warszawa,6.0,9808.0,52.2247928,20.9525803,1016807.0,4.0,98.7,2021.0
Wilanów,Warszawa,2.0,16750.0,52.1530829,21.110441100000006,659000.0,2.0,60.0,2010.0
Bronowice Stańczyka,Kraków,10.0,28253.0,50.0788285,19.8942504,439000.0,2.0,36.48,2021.0
